TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Theft from Vehicle,2003,04,17,17,30,24XX W 1ST AVE,Kitsilano,488324.36,5457580.13
Other Theft,2003,06,20,22,04,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Theft of Vehicle,2003,06,20,20,00,13XX BURNABY ST,West End,490099.94,5458828.13
Other Theft,2003,01,27,10,00,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Theft of Vehicle,2003,12,04,20,00,13XX BURNABY ST,West End,490071.26,5458868.52
Other Theft,2003,06,17,14,00,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Other Theft,2003,06,15,02,00,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Theft from Vehicle,2003,07,30,00,00,15XX COMOX ST,West End,490125.89,5459265.3
Theft of Vehicle,2003,09,18,16,30,13XX BURNABY ST,West End,490063.07,5458863.72
Theft of Vehicle,2003,01,01,22,00,13XX BURNABY ST,West End,490063.07,5458863.72
Mischief,2003,05,15,00,00,12XX CARDERO ST,West End,489825.65,5459086.54
Mischief,2003,03,05,15,25,10XX GRANVILLE ST,Central Business District,491031.75,5458480.78
Other Theft,2003,11,22,21,03,11XX ROBSON ST,West End,490802.62,5459212.8
Theft from Vehicle,2003,04,17,17,30,22XX E 35TH AVE,Kensington-Cedar Cottage,495491.64,5453918.31
Theft from Vehicle,2003,12,27,10,00,43XX W 10TH AVE,West Point Grey,485074.72,5456804.04
Mischief,2003,09,16,18,00,10XX GRANVILLE ST,Central Business District,491033.85,5458482.93
Break and Enter Commercial,2003,10,13,03,30,10XX MAINLAND ST,Central Business District,491279.66,5458139.15
Theft from Vehicle,2003,06,09,00,00,16XX BALSAM ST,Kitsilano,488385.26,5457676.49
Other Theft,2003,01,26,09,11,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Mischief,2003,08,21,02,48,10XX GRANVILLE ST,Central Business District,491035.69,5458497.89
Other Theft,2003,01,21,11,50,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,01,18,15,24,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Theft of Vehicle,2003,11,30,19,30,13XX BROUGHTON ST,West End,490007.4,5458916.48
Break and Enter Commercial,2003,02,23,19,10,3XX W PENDER ST,Central Business District,491900.43,5458861.45
Other Theft,2003,01,17,14,17,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Break and Enter Commercial,2003,09,05,17,00,3XX W PENDER ST,Central Business District,491901.72,5458860.13
Theft from Vehicle,2003,04,19,01,00,22XX E 35TH AVE,Kensington-Cedar Cottage,495491.64,5453918.31
Break and Enter Commercial,2003,12,26,07,32,3XX W PENDER ST,Central Business District,491901.72,5458860.13
Theft from Vehicle,2003,10,21,23,00,50XX BOUNDARY RD,Renfrew-Collingwood,498278.8,5454078.35
Theft from Vehicle,2003,10,20,06,00,22XX E 35TH AVE,Kensington-Cedar Cottage,495491.64,5453918.31
Break and Enter Commercial,2003,10,23,04,35,10XX MAINLAND ST,Central Business District,491297.96,5458171.31
Theft of Vehicle,2003,01,11,20,00,13XX BIDWELL ST,West End,489690.56,5459166.06
Theft from Vehicle,2003,05,24,09,30,22XX E 35TH AVE,Kensington-Cedar Cottage,495531.86,5453917.17
Mischief,2003,10,24,19,00,22XX MAPLE ST,Kitsilano,489049.82,5457050.33
Mischief,2003,05,25,16,41,10XX GRANVILLE ST,Central Business District,491037.79,5458500.03
Other Theft,2003,01,12,16,15,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Other Theft,2003,01,10,17,00,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Break and Enter Residential/Other,2003,08,18,23,04,5XX E 13TH AVE,Mount Pleasant,493350.9,5456237.07
Other Theft,2003,01,03,16,10,31XX GRANDVIEW HWY,Renfrew-Collingwood,497308.77,5456155.92
Theft from Vehicle,2003,11,03,07,00,12XX ADANAC ST,Strathcona,494309.1,5458323.99
Break and Enter Residential/Other,2003,03,11,04,00,10XX WOLFE AVE,Shaughnessy,490706.81,5455544.45
Theft of Vehicle,2003,07,07,00,00,13XX BEACH AVE,West End,489930.01,5458650.36
Break and Enter Residential/Other,2003,02,15,03,25,5XX E 15TH AVE,Mount Pleasant,493200.23,5456069.36
Break and Enter Residential/Other,2003,07,31,12,30,5XX E 15TH AVE,Mount Pleasant,493200.23,5456069.36
Mischief,2003,02,03,19,30,30XX GRANVILLE ST,Fairview,489910.36,5456241.76
Mischief,2003,09,08,00,00,12XX COMOX ST,West End,490394.33,5458999.92
Theft of Vehicle,2003,01,07,20,30,13XX BEACH AVE,West End,489930.01,5458650.36
Theft from Vehicle,2003,09,07,21,00,8XX BEATTY ST,Central Business District,491628.43,5458245.57
Break and Enter Commercial,2003,02,27,05,50,10XX MAINLAND ST,Central Business District,491316.98,5458177.87
Break and Enter Commercial,2003,02,23,21,22,10XX MAINLAND ST,Central Business District,491319.06,5458180.02
Theft of Vehicle,2003,11,05,22,00,13XX BARCLAY ST,West End,490491.53,5459216.8
Break and Enter Residential/Other,2003,12,15,10,00,5XX E 16TH AVE,Mount Pleasant,493242.34,5455974.04
Theft from Vehicle,2003,05,20,00,01,15XX W 2ND AVE,Fairview,489883.14,5457448.66
Theft of Vehicle,2003,06,21,20,00,13XX BARCLAY ST,West End,490461.89,5459258.43
Break and Enter Commercial,2003,01,24,15,30,10XX MAINLAND ST,Central Business District,491323.2,5458184.32
Break and Enter Commercial,2003,07,10,18,12,10XX MAINLAND ST,Central Business District,491323.2,5458184.32
Break and Enter Commercial,2003,10,30,15,00,10XX MAINLAND ST,Central Business District,491323.2,5458184.32
Break and Enter Commercial,2003,11,19,19,00,10XX MAINLAND ST,Central Business District,491323.2,5458184.32
Break and Enter Commercial,2003,06,11,18,00,3XX W PENDER ST,Central Business District,491906.87,5458854.87
Mischief,2003,06,08,16,30,17XX PENDRELL ST,West End,489830.44,5459417.31
Mischief,2003,09,10,22,00,12XX COMOX ST,West End,490396.63,5459010.51
Mischief,2003,12,30,09,53,12XX COMOX ST,West End,490437.97,5458969.55
Theft from Vehicle,2003,01,27,15,00,12XX ALBERNI ST,West End,490743.17,5459431.07
Theft from Vehicle,2003,01,30,15,00,12XX ALBERNI ST,West End,490743.17,5459431.07
Theft from Vehicle,2003,01,30,18,00,12XX ALBERNI ST,West End,490743.17,5459431.07
Theft from Vehicle,2003,06,28,23,30,8XX BEATTY ST,Central Business District,491628.43,5458245.57
Mischief,2003,08,11,11,30,5XX CARDERO ST,Central Business District,490604.81,5459860.56
Theft from Vehicle,2003,10,17,17,30,8XX BEATTY ST,Central Business District,491626.27,5458243.43
Theft from Vehicle,2003,05,11,20,00,24XX W 1ST AVE,Kitsilano,488324.36,5457580.13
Theft from Vehicle,2003,07,28,08,20,8XX BEATTY ST,Central Business District,491613.32,5458217.67
Theft from Vehicle,2003,06,23,12,00,22XX E 35TH AVE,Kensington-Cedar Cottage,495670.39,5453913.23
Break and Enter Commercial,2003,02,23,09,45,3XX W PENDER ST,Central Business District,491910.74,5458850.92
Break and Enter Commercial,2003,06,23,05,20,3XX W PENDER ST,Central Business District,491917.18,5458844.34
Mischief,2003,02,24,17,30,17XX PENDRELL ST,West End,489836.61,5459398.5
Other Theft,2003,06,10,15,35,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Theft from Vehicle,2003,03,23,20,08,11XX ALBERNI ST,West End,490992.39,5459189.5
Theft from Vehicle,2003,01,17,20,00,11XX ALBERNI ST,West End,490992.39,5459189.5
Mischief,2003,05,09,20,00,12XX CYPRESS ST,Kitsilano,489260.96,5458069.23
Other Theft,2003,06,04,12,50,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Mischief,2003,07,27,23,15,5XX CARDERO ST,Central Business District,490608.35,5459864.12
Theft from Vehicle,2003,01,08,17,30,11XX ALBERNI ST,West End,490992.39,5459189.5
Theft of Vehicle,2003,06,11,18,00,13XX ALBERNI ST,West End,490722.2,5459451.33
Other Theft,2003,06,02,16,00,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Theft from Vehicle,2003,08,19,23,00,7XX SE MARINE DR,Sunset,493368.13,5450908.76
Theft of Vehicle,2003,11,26,15,00,13XX ADANAC ST,Grandview-Woodland,494392.67,5458321.69
Theft from Vehicle,2003,07,05,02,00,7XX SE MARINE DR,Sunset,493368.13,5450908.76
Theft of Vehicle,2003,05,13,22,20,12XX WOODLAND DR,Grandview-Woodland,494655.77,5457904.22
Mischief,2003,01,17,21,50,10XX GRANVILLE ST,Central Business District,491048.51,5458497.92
Break and Enter Commercial,2003,01,07,16,45,3XX W PENDER ST,Central Business District,491918.47,5458843.02
Theft of Vehicle,2003,10,04,04,00,12XX W PENDER ST,Central Business District,491017.68,5459519.62
Break and Enter Commercial,2003,12,25,12,35,3XX W PENDER ST,Central Business District,491918.47,5458843.02
Break and Enter Residential/Other,2003,03,06,21,00,12XX E BROADWAY AVE,Mount Pleasant,494226.55,5456634.69
Theft from Vehicle,2003,06,28,20,00,7XX SE MARINE DR,Sunset,493368.13,5450908.76
Mischief,2003,02,23,15,30,10XX GRANVILLE ST,Central Business District,491048.51,5458497.92
Theft of Vehicle,2003,02,11,13,45,12XX W PENDER ST,Central Business District,491017.68,5459519.62
Mischief,2003,02,22,23,30,68XX HEATHER ST,Oakridge,491000.46,5452345.45
Break and Enter Residential/Other,2003,07,01,14,00,5XX E 18TH AVE,Riley Park,493201.62,5455767.49
Mischief,2003,03,13,02,00,10XX GRANVILLE ST,Central Business District,491048.51,5458497.92
Mischief,2003,05,01,17,51,10XX GRANVILLE ST,Central Business District,491048.51,5458497.92
Mischief,2003,05,06,02,30,10XX GRANVILLE ST,Central Business District,491048.51,5458497.92
Break and Enter Commercial,2003,08,19,19,00,10XX MAINLAND ST,Central Business District,491333.57,5458195.07
Break and Enter Commercial,2003,08,25,05,15,10XX MAINLAND ST,Central Business District,491333.57,5458195.07
Mischief,2003,05,09,02,36,10XX GRANVILLE ST,Central Business District,491048.51,5458497.92
Break and Enter Commercial,2003,02,22,22,00,10XX MARINASIDE CRES,Central Business District,491394.74,5457863.54
Theft from Vehicle,2003,04,30,21,30,50XX ASH ST,South Cambie,491356.37,5454052.79
Theft from Vehicle,2003,10,31,18,00,22XX E 37TH AVE,Kensington-Cedar Cottage,495572.09,5453788.71
Break and Enter Commercial,2003,05,06,16,00,10XX MARINASIDE CRES,Central Business District,491395.12,5457872.67
Theft from Vehicle,2003,02,21,23,00,29XX E 43RD AVE,Killarney,496664.98,5453144.17
Theft of Vehicle,2003,12,28,03,00,12XX W HASTINGS ST,Central Business District,491023.49,5459585.81
Mischief,2003,07,14,23,35,10XX GRANVILLE ST,Central Business District,491048.51,5458497.92
Theft of Vehicle,2003,11,20,14,30,12XX W GEORGIA ST,West End,490877.02,5459385.99
Theft from Vehicle,2003,01,01,01,30,12XX ALBERNI ST,West End,490830.09,5459359.47
Theft from Vehicle,2003,01,07,18,00,8XX BEACH AVE,Central Business District,490349.84,5458062.72
Theft from Vehicle,2003,01,02,18,00,12XX ALBERNI ST,West End,490834.05,5459342.89
Theft of Vehicle,2003,06,27,15,00,12XX W GEORGIA ST,West End,490877.02,5459385.99
Break and Enter Residential/Other,2003,01,07,20,27,5XX E 19TH AVE,Riley Park,493178.07,5455675.96
Theft of Vehicle,2003,04,05,11,00,12XX W GEORGIA ST,West End,490877.02,5459385.99
Theft of Vehicle,2003,01,27,18,00,12XX W GEORGIA ST,West End,490877.02,5459385.99
Theft of Vehicle,2003,01,15,11,30,12XX W GEORGIA ST,West End,490877.02,5459385.99
Mischief,2003,05,21,18,00,67XX RALEIGH ST,Killarney,496549.36,5452223.18
Mischief,2003,05,27,01,00,17XX E PENDER ST,Grandview-Woodland,494885.26,5458612.11
Theft of Vehicle,2003,02,02,22,30,12XX W GEORGIA ST,Central Business District,490844.36,5459431.34
Break and Enter Residential/Other,2003,09,18,20,00,5XX E 19TH AVE,Riley Park,493247.41,5455665.12
Theft of Vehicle,2003,01,11,22,00,12XX W GEORGIA ST,Central Business District,490844.36,5459431.34
Mischief,2003,01,24,18,18,5XX CARRALL ST,Central Business District,492402.53,5458615.19
Theft from Vehicle,2003,06,22,03,00,22XX E 37TH AVE,Kensington-Cedar Cottage,495702.29,5453796.76
Mischief,2003,08,12,18,20,10XX GRANVILLE ST,Central Business District,491048.51,5458497.92
Theft from Vehicle,2003,07,18,15,00,8XX AVISON WAY,Stanley Park,490578.13,5460963.46
Break and Enter Residential/Other,2003,05,29,13,00,5XX E 20TH AVE,Riley Park,493190.57,5455575.87
Theft of Vehicle,2003,04,07,19,15,12XX W GEORGIA ST,West End,490786.46,5459476.01
Theft of Vehicle,2003,06,04,10,31,12XX W CORDOVA ST,Central Business District,491113.61,5459615.31
Mischief,2003,12,12,18,15,10XX GRANVILLE ST,Central Business District,491048.51,5458497.92
Mischief,2003,06,11,23,30,17XX E PENDER ST,Grandview-Woodland,494885.26,5458612.11
Theft from Vehicle,2003,09,01,15,30,8XX AVISON WAY,Stanley Park,490544.96,5460916.16
Theft from Vehicle,2003,10,27,00,05,ARBUTUS ST / CORNWALL AVE,Kitsilano,488899.34,5457765.72
Theft of Vehicle,2003,08,07,09,30,12XX W CORDOVA ST,Central Business District,491012.84,5459683.57
Break and Enter Residential/Other,2003,11,02,23,40,12XX E BROADWAY AVE,Mount Pleasant,494226.55,5456634.69
Theft of Vehicle,2003,02,08,22,00,12XX W CORDOVA ST,Central Business District,491003.72,5459691.53
Theft of Vehicle,2003,02,08,21,30,12XX W CORDOVA ST,Central Business District,491003.72,5459691.53
Theft from Vehicle,2003,05,31,12,00,8XX AVISON WAY,Stanley Park,490539.57,5460902.41
Break and Enter Commercial,2003,01,18,18,30,3XX W PENDER ST,Central Business District,491919.76,5458841.7
Theft from Vehicle,2003,08,01,23,30,24XX W 1ST AVE,Kitsilano,488324.36,5457580.13
Theft from Vehicle,2003,09,19,01,00,2XX E 18TH AVE,Riley Park,492706.62,5455779.43
Theft of Vehicle,2003,12,29,14,00,12XX W BROADWAY AVE,Fairview,490433.55,5456750.68
Theft of Vehicle,2003,04,19,12,15,12XX W BROADWAY AVE,Fairview,490411.77,5456760.37
Theft from Vehicle,2003,12,26,17,35,10XX W 41ST AVE,Oakridge,490667.3,5453460.36
Theft of Vehicle,2003,02,19,08,00,12XX W BROADWAY AVE,Fairview,490411.77,5456760.37
Theft of Vehicle,2003,11,21,08,30,12XX W BROADWAY AVE,Fairview,490364.62,5456761.54
Other Theft,2003,05,31,21,50,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Mischief,2003,02,09,22,45,12XX E 63RD AVE,Sunset,494074.3,5451127.98
Theft of Vehicle,2003,02,19,09,00,12XX W BROADWAY AVE,Fairview,490301.75,5456763.09
Theft of Vehicle,2003,10,23,18,00,12XX W 8TH AVE,Fairview,490437.58,5456852.3
Other Theft,2003,05,31,18,49,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Theft from Vehicle,2003,09,18,01,00,2XX E 18TH AVE,Riley Park,492706.62,5455779.43
Other Theft,2003,05,27,05,30,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Theft of Vehicle,2003,04,14,18,30,12XX W 8TH AVE,Fairview,490437.58,5456852.3
Theft of Vehicle,2003,04,05,23,00,12XX W 8TH AVE,Fairview,490437.58,5456852.3
Theft of Vehicle,2003,01,30,18,15,12XX W 8TH AVE,Fairview,490437.58,5456852.3
Theft from Vehicle,2003,12,03,23,00,2XX E 63RD AVE,Sunset,492572.27,5451213.69
Mischief,2003,04,07,18,42,6XX PACIFIC ST,Central Business District,490650.81,5457959.84
Theft of Vehicle,2003,08,30,00,00,12XX W 7TH AVE,Fairview,490439.96,5456944.89
Theft from Vehicle,2003,01,11,19,00,22XX E 38TH AVE,Kensington-Cedar Cottage,495490.79,5453677.73
Theft from Vehicle,2003,05,03,20,30,7XX SE MARINE DR,Sunset,493368.13,5450908.76
Mischief,2003,08,01,21,00,67XX INVERNESS ST,Sunset,494168.88,5452223.4
Theft from Vehicle,2003,01,28,00,45,12XX ALBERNI ST,West End,490834.05,5459342.89
Theft from Vehicle,2003,01,31,21,00,12XX ALBERNI ST,West End,490834.05,5459342.89
Theft of Vehicle,2003,05,11,14,00,12XX W 7TH AVE,Fairview,490370.07,5456946.68
Theft from Vehicle,2003,02,01,00,00,12XX ALBERNI ST,West End,490834.05,5459342.89
Theft from Vehicle,2003,02,05,00,00,12XX ALBERNI ST,West End,490834.05,5459342.89
Theft of Vehicle,2003,10,07,15,30,12XX W 73RD AVE,Marpole,490272.88,5450168.47
Other Theft,2003,12,22,23,30,17XX ROBSON ST,West End,490255.8,5459757.5
Other Theft,2003,08,29,14,00,17XX ROBSON ST,West End,490255.78,5459770.27
Theft from Vehicle,2003,09,02,23,30,15XX COMOX ST,West End,490147.54,5459243.65
Break and Enter Residential/Other,2003,04,30,12,00,5XX E 29TH AVE,Riley Park,493209.64,5454654.1
Theft of Vehicle,2003,11,09,10,51,12XX W 71ST AVE,Marpole,490283.38,5450467.6
Theft from Vehicle,2003,02,19,18,30,12XX ALBERNI ST,West End,490834.05,5459342.89
Break and Enter Commercial,2003,01,17,16,00,10XX PARKER ST,Strathcona,494084.11,5458126.65
Theft from Vehicle,2003,03,20,19,30,12XX ALBERNI ST,West End,490834.05,5459342.89
Theft from Vehicle,2003,03,20,20,00,12XX ALBERNI ST,West End,490834.05,5459342.89
Offence Against a Person,2003,11,30,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,09,13,15,00,8XX AVISON WAY,Stanley Park,490536.13,5460885.81
Break and Enter Commercial,2003,06,17,04,10,3XX WATER ST,Central Business District,491975.94,5459104.53
Break and Enter Commercial,2003,07,11,20,00,3XX WATER ST,Central Business District,491975.94,5459104.53
Offence Against a Person,2003,03,28,,,OFFSET TO PROTECT PRIVACY,,0,0
Mischief,2003,01,27,03,30,12XX E PENDER ST,Strathcona,494272.21,5458624.78
Break and Enter Residential/Other,2003,01,03,10,00,5XX E 29TH AVE,Riley Park,493276.5,5454653.51
Theft from Vehicle,2003,05,12,08,00,12XX ALBERNI ST,West End,490834.05,5459342.89
Theft from Vehicle,2003,08,11,15,30,4XX WINDERMERE ST,Hastings-Sunrise,497363.57,5458707.49
Theft of Vehicle,2003,03,23,15,00,12XX W 71ST AVE,Marpole,490283.38,5450467.6
Mischief,2003,08,01,20,45,67XX INVERNESS ST,Sunset,494170.51,5452287.72
Theft from Vehicle,2003,05,14,20,45,12XX ALBERNI ST,West End,490834.05,5459342.89
Theft from Vehicle,2003,08,10,09,00,8XX AVISON WAY,Stanley Park,490536.13,5460885.81
Theft of Vehicle,2003,03,03,12,00,12XX W 70TH AVE,Marpole,490232.17,5450650.47
Mischief,2003,04,25,02,23,17XX E PENDER ST,Grandview-Woodland,494919.36,5458620.68
Mischief,2003,06,19,23,35,17XX E PENDER ST,Grandview-Woodland,494919.36,5458620.68
Mischief,2003,10,04,03,17,17XX E PENDER ST,Grandview-Woodland,494919.36,5458620.68
Mischief,2003,05,13,19,30,9XX E 14TH AVE,Mount Pleasant,493843.91,5456130.53
Theft from Vehicle,2003,06,08,17,00,12XX ALBERNI ST,West End,490834.05,5459342.89
Theft from Vehicle,2003,07,03,15,30,12XX ALBERNI ST,West End,490834.05,5459342.89
Break and Enter Residential/Other,2003,04,02,18,30,5XX E 31ST AVE,Riley Park,493188.47,5454438.75
Theft from Vehicle,2003,07,18,00,00,12XX ALBERNI ST,West End,490834.05,5459342.89
Theft from Vehicle,2003,07,31,21,00,12XX ALBERNI ST,West End,490834.05,5459342.89
Theft from Vehicle,2003,10,15,16,30,12XX ALBERNI ST,West End,490834.05,5459342.89
Mischief,2003,05,31,06,30,17XX PENDRELL ST,West End,489869.71,5459367.96
Break and Enter Residential/Other,2003,09,16,18,10,5XX E 31ST AVE,Riley Park,493235.2,5454437.62
Theft from Vehicle,2003,08,14,06,00,7XX E 14TH AVE,Mount Pleasant,493594.28,5456128.69
Theft from Vehicle,2003,04,20,16,00,28XX ADANAC ST,Hastings-Sunrise,496622.12,5458305.13
Break and Enter Residential/Other,2003,01,19,10,54,11XX ALBERNI ST,West End,490992.39,5459189.5
Mischief,2003,08,24,21,45,X NK_LOC ST,,492757.49,5458792.47
Theft of Vehicle,2003,09,03,06,00,12XX W 45TH AVE,Oakridge,490330.27,5453070.24
Theft from Vehicle,2003,11,30,10,30,11XX ALBERNI ST,West End,490971.72,5459209.52
Theft of Vehicle,2003,08,26,01,00,12XX W 45TH AVE,Oakridge,490330.27,5453070.24
Theft of Vehicle,2003,12,20,18,30,12XX W 37TH AVE,Shaughnessy,490351.97,5453895.26
Theft from Vehicle,2003,10,31,08,00,10XX DAVIE ST,West End,490512.29,5458572.49
Theft from Vehicle,2003,06,04,21,00,10XX BURRARD ST,Central Business District,490832.79,5458716.14
Theft from Vehicle,2003,07,31,12,30,8XX AVISON WAY,Stanley Park,490536.13,5460885.81
Theft from Vehicle,2003,07,29,10,00,8XX AVISON WAY,Stanley Park,490536.13,5460885.81
Theft of Vehicle,2003,04,16,12,00,12XX W 15TH AVE,Fairview,490417.56,5456127.99
Theft of Vehicle,2003,10,22,05,32,12XX W 15TH AVE,Fairview,490373.11,5456129.06
Theft of Vehicle,2003,10,22,05,30,12XX W 15TH AVE,Fairview,490373.11,5456129.06
Mischief,2003,11,15,20,30,12XX HARWOOD ST,West End,490074.53,5458697.45
Theft of Vehicle,2003,08,29,04,30,12XX W 14TH AVE,Fairview,490419.13,5456229.57
Mischief,2003,07,21,02,35,10XX ROBSON ST,West End,491058.23,5458959.0
Theft from Vehicle,2003,06,17,17,30,8XX AVISON WAY,Stanley Park,490536.13,5460885.81
Theft of Vehicle,2003,02,09,06,00,12XX W 14TH AVE,Fairview,490419.13,5456229.57
Theft of Vehicle,2003,05,26,17,00,12XX W 14TH AVE,Fairview,490381.61,5456239.71
Theft of Vehicle,2003,10,02,22,15,12XX W 14TH AVE,Fairview,490365.63,5456230.99
Theft from Vehicle,2003,05,17,15,00,8XX AVISON WAY,Stanley Park,490536.13,5460885.81
Theft from Vehicle,2003,03,05,09,20,8XX AVISON WAY,Stanley Park,490536.13,5460885.81
Mischief,2003,12,25,08,16,10XX ROBSON ST,West End,491058.23,5458959.0
Break and Enter Residential/Other,2003,03,23,16,15,5XX E 43RD AVE,Sunset,493227.36,5453138.38
Theft of Vehicle,2003,07,04,21,30,12XX W 14TH AVE,Fairview,490359.58,5456240.3
Theft of Vehicle,2003,11,30,01,30,12XX W 14TH AVE,Fairview,490334.41,5456240.96
Theft from Vehicle,2003,04,27,19,30,3XX E 63RD AVE,Sunset,492709.07,5451199.46
Theft from Vehicle,2003,04,12,20,00,3XX E 63RD AVE,Sunset,492709.07,5451199.46
Other Theft,2003,05,26,15,45,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Theft from Vehicle,2003,03,24,06,14,11XX ALBERNI ST,West End,490971.72,5459209.52
Theft of Vehicle,2003,08,16,00,30,12XX W 13TH AVE,Fairview,490321.41,5456342.91
Mischief,2003,08,15,22,45,X NK_LOC ST,,492757.49,5458792.47
Break and Enter Commercial,2003,09,30,05,05,3XX WATER ST,Central Business District,491998.57,5459088.41
Theft of Vehicle,2003,08,14,14,00,12XX W 13TH AVE,Fairview,490321.41,5456342.91
Theft from Vehicle,2003,02,04,22,00,11XX ALBERNI ST,West End,490971.72,5459209.52
Break and Enter Commercial,2003,02,15,18,30,8X W CORDOVA ST,Central Business District,492274.03,5458906.19
Theft from Vehicle,2003,02,15,21,00,3XX E 62ND AVE,Sunset,492793.99,5451279.69
Theft from Vehicle,2003,11,20,15,00,3XX E 62ND AVE,Sunset,492735.7,5451281.26
Theft of Vehicle,2003,08,13,01,00,12XX W 13TH AVE,Fairview,490321.41,5456342.91
Theft from Vehicle,2003,10,16,18,30,29XX COMMERCIAL DR,Kensington-Cedar Cottage,494921.16,5456183.98
Other Theft,2003,04,14,13,40,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Theft from Vehicle,2003,05,20,14,30,75XX PRINCE EDWARD ST,Sunset,492883.31,5451540.63
Theft of Vehicle,2003,05,06,18,30,12XX W 12TH AVE,Fairview,490377.67,5456440.34
Break and Enter Commercial,2003,07,07,04,50,10XX ROBSON ST,West End,490932.81,5459082.94
Theft of Vehicle,2003,03,15,19,00,12XX W 12TH AVE,Fairview,490324.59,5456450.86
Break and Enter Commercial,2003,12,14,05,45,10XX ROBSON ST,West End,490938.26,5459077.55
Other Theft,2003,04,03,11,20,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Mischief,2003,04,24,19,00,12XX JOHNSTON ST,Fairview,490401.19,5457438.96
Break and Enter Residential/Other,2003,02,24,15,15,5XX E 44TH AVE,Sunset,493244.53,5453037.74
Mischief,2003,05,07,00,00,18XX PENDRELL ST,West End,489742.38,5459504.57
Theft of Vehicle,2003,05,08,23,59,12XX W 11TH AVE,Fairview,490427.32,5456540.42
Theft of Vehicle,2003,02,02,20,00,12XX W 11TH AVE,Fairview,490427.32,5456540.42
Theft of Vehicle,2003,01,08,21,30,12XX W 11TH AVE,Fairview,490427.32,5456540.42
Mischief,2003,07,06,12,11,5XX CARRALL ST,Central Business District,492412.92,5458640.89
Theft of Vehicle,2003,11,16,02,00,12XX W 11TH AVE,Fairview,490402.26,5456540.97
Theft of Vehicle,2003,12,02,17,10,12XX W 11TH AVE,Fairview,490377.39,5456550.66
Mischief,2003,08,02,23,26,18XX PENDRELL ST,West End,489742.38,5459504.57
Mischief,2003,04,30,03,00,6X POWELL ST,Central Business District,492514.18,5458945.28
Theft from Vehicle,2003,05,23,22,00,3XX E 62ND AVE,Sunset,492721.83,5451281.64
Mischief,2003,06,29,23,00,13XX W 6TH AVE,Fairview,490117.16,5457047.44
Theft from Vehicle,2003,10,09,20,00,ALMA ST / W 2ND AVE,Kitsilano,486495.2,5457532.0
Theft from Vehicle,2003,01,10,00,20,43XX STAULO CRES,Musqueam,485189.96,5452938.39
Theft from Vehicle,2003,09,28,03,30,12XX ALDER BAY WALK,Fairview,490329.61,5457229.54
Break and Enter Commercial,2003,10,31,05,20,10XX ROBSON ST,West End,490962.8,5459053.3
Break and Enter Commercial,2003,12,25,06,12,10XX ROBSON ST,West End,490962.8,5459053.3
Theft from Vehicle,2003,04,04,18,00,10XX SEYMOUR ST,Central Business District,491045.79,5458359.8
Theft from Vehicle,2003,06,16,19,00,12XX ALDER BAY WALK,Fairview,490329.98,5457218.27
Offence Against a Person,2003,04,18,,,OFFSET TO PROTECT PRIVACY,,0,0
Theft from Vehicle,2003,04,23,05,00,12XX BARCLAY ST,West End,490526.87,5459182.44
Theft of Vehicle,2003,01,05,17,50,12XX W 10TH AVE,Fairview,490429.89,5456643.68
Break and Enter Commercial,2003,10,22,03,08,10XX ROBSON ST,West End,490963.78,5459065.19
Theft from Vehicle,2003,08,10,14,00,24XX W 1ST AVE,Kitsilano,488324.36,5457580.13
Theft of Vehicle,2003,03,29,21,15,12XX VICTORIA DR,Grandview-Woodland,495226.86,5457873.61
Theft from Vehicle,2003,10,11,21,00,4XX W PENDER ST,Central Business District,491853.41,5458896.56
Other Theft,2003,03,24,19,58,12XX GRANVILLE ST,Central Business District,490720.1,5458163.8
Theft of Vehicle,2003,09,04,10,30,12XX VENABLES ST,Strathcona,494295.1,5458232.22
Theft of Vehicle,2003,03,25,10,55,12XX VENABLES ST,Strathcona,494287.57,5458223.27
Theft from Vehicle,2003,05,12,03,00,43XX ST CATHERINES ST,Kensington-Cedar Cottage,493756.78,5454863.24
